,rating,contest1,contest2,contest3,contest4,contest5,contest6,contest7,contest8,contest9,contest10
0,2115,2078,2055,2115,2047,2024,2010,1953,1936,2042,2045
1,2254,2194,2114,2152,2179,2211,2154,2170,2141,2157,2209
2,2344,2120,2206,2147,2234,2294,2090,2089,2072,2085,2114
3,2224,2224,2222,2166,2116,2029,2113,2104,2096,2115,2163
4,2128,2128,2120,2072,2018,1963,2039,1932,1963,1960,1886
5,2139,1987,2040,2101,2139,2102,1996,1765,1734,1581,1769
6,2132,2114,2132,2094,2063,1960,1947,1987,1822,1716,1454
7,2294,2034,2016,1873,1892,1863,1825,2012,2164,2125,2208
8,2170,2117,2170,2149,2071,2084,2023,1998,1910,1815,1973
9,2242,2242,2005,2041,2029,1851,1756,1746,1643,1712,1507
10,2191,2147,2143,2191,2150,2107,2024,2095,2141,2065,2092
11,2231,2231,2100,2166,2099,2041,2003,1941,1891,1843,1833
12,2247,2247,2054,2025,2046,2137,2058,2000,2022,2022,2002
13,2062,2042,2062,1936,1925,1830,1791,1842,1866,1918,1851
14,2331,2018,2015,2074,2143,2056,1905,1997,2066,2134,2175
15,2242,2139,2158,2195,2108,2125,2213,2219,2231,2193,2201
16,2673,2464,2556,2564,2601,2647,2645,2673,2666,2642,2544
17,2146,2146,2121,2051,2012,2009,2029,1945,1926,1971,2049
18,2728,2728,2599,2426,2506,2426,2477,2410,2491,2372,2215
19,1992,1992,1777,1834,1923,1675,1798,1720,1940,1651,1289
20,2478,2478,2200,2132,2119,2071,1947,1801,1775,1686,1619
21,2731,2527,2495,2557,2527,2498,2445,2409,2408,2486,2560
22,2244,2244,2157,2062,2158,2088,2020,1996,1987,2032,2066
23,2898,2795,2779,2751,2770,2789,2741,2773,2864,2748,2704
24,2121,2121,2084,2084,1998,1961,1977,1966,1920,2005,2118
25,2266,2190,2237,2143,2218,2175,2205,2092,2127,2181,2251
26,2199,2070,1998,2038,2040,2051,2164,2123,2156,2065,2013
